rating,date,variation,verified_reviews,feedback,sentiment,final_sentiment
4,30-Jul-18,Sandstone Fabric ,i liked the original echo  this is the same but shorter and with greater fabric color choices  i miss the volume ring on top  now it is just the plus minus buttons  not a big deal but the ring w as comforting     other than that  well i do like the use of a standard usb charger  port instead of the previous round pin  other than that  i guess it sounds the same  seems to work the same  still answers to alexa echo computer  so what is not to like,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,love the echo and how good the music sounds playing off it  alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify  she is good with amazon music but is lacking in other major programs,1,3,Neutral
5,30-Jul-18,Charcoal Fabric ,we love alexa  we use her to play music  play radio through itunes  play podcasts through anypod  and set reminders  we listen to our flash briefing of news and weather every morning  we rely on our custom lists  we like being able to voice control the volume  we are sure we will continue to find new uses sometimes it is a bit frustrating when alexa does not understand what we are saying,1,4,Positive
4,30-Jul-18,Heather Gray Fabric ,have only had it set up for a few days  still adding smart home devices to it  the speaker is great for playing music  i like the size  we have it stationed on the kitchen counter and it s not intrusive to look at,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,i love it  it plays my sleep sounds immediately when i ask,1,5,Positive
3,30-Jul-18,Sandstone Fabric ,i got a second unit for the bedroom  i was expecting the sounds to be improved but i didnt really see a difference at all  overall  not a big improvement over the 1st generation,1,3,Neutral
5,30-Jul-18,Sandstone Fabric ,amazing product,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i love my echo  it is easy to operate  loads of fun it is everything as advertised  i use it mainly to play my favorite tunes and test alexa s knowledge,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,sounds great   love them,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,fun item to play with and get used to using  sometimes has hard time answering the questions you ask  but i think it will be better,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,just like the other one,1,5,Positive
5,30-Jul-18,Sandstone Fabric ,still learning all the capabilities   but so far pretty pretty pretty good,1,4,Positive
4,30-Jul-18,Charcoal Fabric ,i like it,1,4,Positive
5,30-Jul-18,Sandstone Fabric ,she works well  needs a learning command for unique  owners and users like  alexa  learn  tasha s birthday  or alexa  learn  my definition of fine  etc  other than that she is great,1,4,Positive
3,30-Jul-18,Heather Gray Fabric ,the speakers sound pretty good for being so small and setup is pretty easy  i bought two and the reason i only rate it a 3 is i have followed the instructions for synching music to both units  i know i have done it correctly but they will not sync  that was my primary motivation for purchasing multiple units,1,3,Neutral
5,30-Jul-18,Charcoal Fabric ,this device is awesome,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i bought this to compare the speaker quality to our first generation speaker and i like the sound better  i will ship this to my daughter though because i like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now,1,4,Positive
5,30-Jul-18,Sandstone Fabric ,love my echo  still learning all the things it will do  wasn t able to follow instructions included in the package  but found a great one on u tube,1,5,Positive
4,30-Jul-18,Heather Gray Fabric ,speaker is better than 1st generation echo,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,this thing is way cool  you should get one  if you want to be cool  that is,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,this is my first digital assistant so i am giving this a good review  speaker is really good for the cheap price on prime day  fun to play with and can be used as an alarm clock  that s what i was going to get in the first place  but i ended up with echo   if you have not had a go with one then definitely try it what i like best is the number of other devices that it can connect with  my purchase came with a smart plug for dollar 10 which i connect my lamp to  alexa  turn of the lights,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,my husband likes being able to use it to listen to music  i wish we knew all it is capabilities,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,my android would not allow alexa to connect  fortunately  my sister was here with her apple cell  after an hour  tech support fixed the glitches  we are up and running,1,2,Unknown
4,30-Jul-18,Charcoal Fabric ,so far so good,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,tried to play certain broadway shows like camelot and it gives ne the group camelot,1,2,Unknown
5,30-Jul-18,Sandstone Fabric ,great,1,5,Positive
5,30-Jul-18,Walnut Finish ,very satisfied with the echo  alexa now controls the lights in my family room and my wife can listen to jimmy buffet by just asking alexa,1,5,Positive
2,30-Jul-18,Charcoal Fabric ,it s like siri  in fact  siri answers more accurately then alexa  i do not see a real need for it in my household  though it was a good bargain on prime day deals,0,3,Unknown
5,30-Jul-18,Charcoal Fabric ,love my echo  still learning how every thing works but having tons of fun,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,i love you so much,1,5,Positive
3,30-Jul-18,Charcoal Fabric ,no different than apple  to play a specific list of music you must have an amazon of spotify  plus prime etc  account  so you must pay to play  your  music  3 stars for that reason  everything else is,1,3,Neutral
5,30-Jul-18,Charcoal Fabric ,excelente  lo unico es que no esta en español,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,i m still learning how to use it  but so far my echo is great  the sound is actually much better than i was expecting,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,works as you d expect and then some  also good sound quality considering price  70 00 on sale  and features,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,the sound from this echo 2nd generation is phenomenal  not to mention that i just love alexa  she is very helpful,1,5,Positive
3,30-Jul-18,Sandstone Fabric ,like google better,1,3,Neutral
5,30-Jul-18,Charcoal Fabric ,just had to have it and now lets play and learn how to get the most out of it,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,works as advertised  very easy to setup  still learning what this can do,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,great sound and easy to set up,1,5,Positive
5,30-Jul-18,Oak Finish ,love alexa  bought others for friends,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,love the echo i purchased it for company for my husband he is 83 and alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,love being able to listen to music easily  still learning all the features available,1,5,Positive
4,30-Jul-18,Heather Gray Fabric ,did t really know what i could use this device for  used it for a few things  but need an overview,1,3,Neutral
5,30-Jul-18,Heather Gray Fabric ,love this just wish it had a built in hub,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i use it primarily to play music  it works wonderfully  still getting used to some of the many things it will do  amazon has sent several tips since i got it  thanks for all your help,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,how easy if was to set up,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,fast response which was amazing  clear concise answers and sound quality is fantastic  i am still getting used to alexia and have not usde echo to its full extent,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,you re all i need   na na nana,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,does everything as expected and more,1,5,Positive
5,30-Jul-18,Sandstone Fabric ,i love my echo  works just like they said it would  i do not have a  smart  home  so i cannot speak about that function  but everything else about it is good,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,great sound in a small package easy to set up and use  fun to own,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,works and sounds great,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,the sound is amazing and many collections of all music,1,5,Positive
4,30-Jul-18,Sandstone Fabric ,setting up,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,she doesn t always listen,1,2,Unknown
5,30-Jul-18,Charcoal Fabric ,it s awesome,1,5,Positive
4,30-Jul-18,Heather Gray Fabric ,i bought this because it can control fios television  it works well  i m hoping over time it will do more to control fios  then i discovered all the other things alexa can do  play music you ask for  great sound from alexa  play games  play radio stations  play old time radio programs like the long ranger  alexa has many  apps  you can add to her abilities  the other day i played madlibs  great fun  also alexa can control household appliances  i just purchased alexa compatible power strips to control lighting  fans and tv components  i m looking forward to implementing this controll  you can also add other alexa components to have chosen music to play in all rooms where the components are located,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,the speaker has excellent sound and works perfectly,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i like it all,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i love it  it does everything,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,i was a little nervous when i received my new echo as i am not really tech savvy  i found it a bit intimidating at first but it did not take me to long to figure it out   i am very happy with my purchase and now thinking of adding an echo spot,1,4,Positive
4,30-Jul-18,Charcoal Fabric ,i like it and still learning how to use it,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,great technology   can not believe the speaker volume and quality is so wonderful  wish i had bought another one,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,i purchased an echo dot for my husband for fathers day  he uses it constantly and after hearing the quality of sound of the echo  2nd generation   it was a no brainer  best gift ever,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,works fine,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,clear music,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,fun to use  good sound quality,1,4,Positive
5,30-Jul-18,Sandstone Fabric ,the echo works well  i was able to sync it with my other amazon music devices,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,works great  but i do not think amazon should charge another cent for unlimited music when you 1  have prime and 2  buy an echo,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,already had an echo dot  the echo is even better with fuller sound  also during setup it now lets phone calls to be made to my contact list which is great,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,the speaker sounds really good,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,good sound works well,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,love it and alexa  i am not very savvy but support was very helpful and patient,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,love it  i was thinking about getting one and when the prime day discount was offered  i could not pass it up  it is fun to ask alexa to play any song or group and she comes up with a playlist from amazon prime music  you can also connect your iphone with bluetooth and play music with pandora or youtube videos using alexa as a speaker  i have been having fun asking alexa different types of questions or for information like weather  news or even the time in other countries  the only downside is if you have limited data on your wifi plan  because alexa uses burns it up when playing music,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,we like it all so far  but have a lot to try out yet,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,love it   am using it strictly for music now and it is great,1,5,Positive
5,30-Jul-18,Sandstone Fabric ,love the echo     i love the size  material and speaker quality  i have it hooked up to one light easily and will work on additional lights and thermostat  next is echo dot for bedroom  there is a lot more to do with echo that you think  traffic  weather  trivia  etc,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,love it,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,the entire family loves alexa echo  she s now a part of this family,1,5,Positive
5,30-Jul-18,Walnut Finish ,great fun getting to know all the functions of this product  wow    family fun and homework help  talking with other grandchildren who also have an echo  is a huge bonus  can not wait to learn more and more and more,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,love it,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,awesome thing  love alexa,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,it worked exactly as expected and the speaker has great sound  it is perfect for my classroom,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,love  love this new little gadget  has made our lives so much easier  it is like having our own personal secretary living here in the home  we hardly need our cd s anymore  since alexa plays everything we need  going to get the alexa dots soon for more rooms  thanks,1,5,Positive
4,30-Jul-18,Heather Gray Fabric ,the speaker is of surprising quality  happy with the purchase,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,very easy to set up  works wonderful and i love it,1,5,Positive
5,30-Jul-18,Sandstone Fabric ,i am really impressed with the sound quality when playing music from this device  the bass sounds almost like it is coming from a bigger speaker so props to amazon,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,it s still a great product but the sound quality does seem worse don t get me wrong  you definitely get used to it within an hour  but it definitely feels like echo gen 1 sound quality was better besides that   it s great with the addition of being able to play just over bluetooth with no wifi  it s even better,1,3,Neutral
4,30-Jul-18,Sandstone Fabric ,the outlet does not work with it  was disappointed in that,1,2,Unknown
4,30-Jul-18,Charcoal Fabric ,great device  responsive and helpful,1,5,Positive
2,30-Jul-18,Charcoal Fabric ,sound is terrible if u want good music too get a bose,0,1,Negative
4,30-Jul-18,Charcoal Fabric ,i liked the sound   what is troubling is that i paid extra money to have access to a million more songs  sometimes it does not work  ex  alexa play italian songs   do not have or don  t understand  or play the opera tosca  response  sorry i don t have that,1,3,Neutral
5,30-Jul-18,Charcoal Fabric ,easy to set up and use  too bad it has to be plugged in  would be nice to take it outside and operate on battery and recharged,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,still learning all the ways to use it  it is a real hit with my grandkids who ask it to play music and then dance to it   5 and 7 yrs   very cute,1,5,Positive
4,30-Jul-18,Oak Finish ,4 5 out of 5 stars  i generally like this product  its great at doing what you ask of it like playing music  setting timers  and making calls  reason why i did not rate it 5 out of 5 is that sometimes the connection dies and my echo stops playing music and shows a red ring  seems to be a connection issue  overall  great product,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,works great  upgraded from echo dot to full size echo  couldn t be happier,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,it is alexa     what else can you say,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,upgraded from my lilttle echo dot  happy with sound,1,5,Positive
4,30-Jul-18,Sandstone Fabric ,excellent product  set up with ease as well,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,i have had the first gen echo since it first came out and it has worked well for me  i purchased the 2nd gen during prime day and so far i am happy  it seems to have an improved speaker which provides enhanced sound for music and such,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i love my echo smart speaker  i love the volume and clarity  it was easy to set up  its a wonderful gift for any age,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,wonderful product and fast delivery,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,initially harder to set up called tech wasn t that knowledgeable now working great,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,it was very easy to set up and my family love it s,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,has great sound and is very responsive my voice and commands,1,5,Positive
5,30-Jul-18,Sandstone Fabric ,how did i live this long without the echo   you get to enjoy any music style just my asking alexa   going to up greade to the wireless   love the echo   love you too alexa,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,very cool product  speaker sounds good with my spotify blasting through it,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,having so much fun with alexa  love being able to listen to music when i m across the room or busy doing something else,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,so far it seems to be a very nice item  it picks up on my voice and understands me without any problems  the other day i asked it to turn down the music from the next room and it heard me just fine  i have only used it to listen to music and check the weather  but it has done both of those things very well,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,love our echo,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i love it she is very helpful  i use her for remembering things and sleep  you can ask her just about anything  i have only had her for about a week so still learning her,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,it s better than the 1st gen in every way except for one  i really miss the ring at the top for volume control  it was quicker and easier to just grab the top and twist without having to look at the buttons and find the     one and press it a few times  i also wish the bass was a bit better  all in all  it is a great device and i am happy with it,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,i love having an alexa,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,so far i like it,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,i am thoroughly enjoying my ecoo  love to have it read my audiobook to me while in the office and then i can simply open the audiobook on my kindle to continue it when elsewhere  wonderful for listening to music when not in the mood for a book  great for setting reminders for myself too and so much more,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,still love it,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,love it,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,i love the sound quality of this unit  it is a very clear sound,1,5,Positive
4,30-Jul-18,Sandstone Fabric ,i just this for listening to talk radio in the morning and turning lights on and off etc  the system does an excellent job as a full house sound system streaming sirius,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i have had for only a week  so i am still learning all that alexa can do  it is a learning process  i love the music i can call up any time  i listen to podcasts and radio stations  i have just started keeping shopping lists and grocery lists  which i love  i don t have to search for paper and pencil  getting time and temperature are great  do not have to wait for weather reports  the sound is good  i am not fussy about woofers  tweeters  base   etc  the echo is fine for me  this afternoon i am going to try  dropping in  on my son when he gets home  going to surprise him,1,4,Positive
1,30-Jul-18,Charcoal Fabric ,not much features,0,2,Negative
5,30-Jul-18,Charcoal Fabric ,great sound quality  great features  great product  multi room music is very cool,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,cool,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,everyone should have an echo or two or three or more  i bought my echo through qvc,1,1,Unknown
3,30-Jul-18,Sandstone Fabric ,it is annoying that everything they show alexa as being able to do has to be downloaded  you spend so much time trying to figure out how to phrase it for the machine that you may as well just look it up yourself,1,2,Unknown
5,30-Jul-18,Charcoal Fabric ,i have had alexa since the beginning  i accidentally spilled water on her and have replaced it with the 2nd generation  i decided i could not be without an echo  setup was easy and had it working within minutes,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,i like being able to tell alexia the music i want to hear  but sometimes she has trouble finding the song if i am not very specific about the title,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,i like the looks better than the original echo  i moved my old echo to the basement family room  nice sound,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,the echo is wonderful but i am still learning how to use it  music requests are somewhat limited,1,4,Positive
3,30-Jul-18,Heather Gray Fabric ,does not know half the things asked  can not recognize my sprinkler wifi controller  even though product details says it is compatible  can not program or change my wifi thermostat settings and its matched up on same wifi router  just a handy music player  that is if you have amazon music,1,1,Unknown
5,30-Jul-18,Sandstone Fabric ,love it,1,5,Positive
5,30-Jul-18,Sandstone Fabric ,awesome understands my kids,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,we were pleasantly surprised at the sound quality and the many features  how nice to easily hear a particular artist or hear our books just by a simple command  looking forward to exploring other options with this device,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,met and exceeded my expectations  easy set up and is really quick in responses,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i like the fact that i can get any kind of music from prime that i want on request from alexa  i liked the informative photo little pamphlet but wish it included how to connect your tv etc  to the commands from alexa  but  i really love having the music,1,4,Positive
4,30-Jul-18,Charcoal Fabric ,i have not found a way to access my echo thorough my prime account  i think it should be part of the top line with video  music  etc  i also think the setup app where i define  for example music i like  is not well integrated into echo  i have tried to ask for my playlist and echo is not sure even though i set up play list in my settings  i also do not like the fact that my words have to be exact match of my playlist names  which i can never remember i like the ready nature of echo to respond to most any queries,1,3,Neutral
5,30-Jul-18,Charcoal Fabric ,this is great item and just added audible books which makes it even better  thank you,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,during prime day this 2nd gen echo was on sale so i could not resist  this was the beginning to my smart home set up and i could not be happier to say that alexa has done an amazing job connecting to all of my   smart   devices  thanks to her  i can control my lights  smart plugs  tv  etc  i had no trouble connecting the echo to my wifi and my phone  the app works perfectly fine and it let us you add skills  routines  smart devices  timers  and so much more  sound quality is good enough for me  since i am not an audiophile  alexa can hear my voice even when watching movies at a high volume  design is great and modern  it will definitely add a nice touch to your home and you can change the covers if you would like as there are more for sale  overall  this is a great addition to my home and enables so many possibilities  if you have not yet  be sure to add alexa to your home,1,5,Positive
5,30-Jul-18,Oak Finish ,versatile and fun,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,works great  killer speaker  my wife and son love it,1,5,Positive
5,30-Jul-18,Walnut Finish ,we regret waiting so long to purchase this item  we are both surprised and pleased with the sound quality,1,5,Positive
1,30-Jul-18,Sandstone Fabric ,stopped working after 2 weeks  did not follow commands   really fun when it was working,0,1,Negative
5,30-Jul-18,Heather Gray Fabric ,so far love it working on getting more things set up love the grocery list app,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,it performs pretty much as expected  but i am very disappointed it will not provide me with the terminology i need to play various kinds of music without subscribing to the amazon music service  i understand my music choices may be limited  but without knowing how to ask  i cannot access the music that is provided free along with my echo purchase  do you have a chart showing the language i need to use,1,2,Unknown
5,30-Jul-18,Charcoal Fabric ,easy to set up,1,5,Positive
3,30-Jul-18,Charcoal Fabric ,i like the product except that the speakers are not the high quality i expected,1,3,Neutral
5,30-Jul-18,Walnut Finish ,a great investment  alexa has helped me out and made me laugh,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,yet another exho for our home and love them all,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i love it  i can plan any gender of music from big band to jazz  not easy to find on local radio  sound is good and i can stop it with a voice command if i get a phone call,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,good value,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,super easy set up and am loving our new echo,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,whats not to like about this speaker  just ask alexa,1,1,Unknown
5,30-Jul-18,Charcoal Fabric ,best father s day gift  dad joked to my mom that alexa will be the one listening to all of his  repeated  stories going forward,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,great addition to our breakfast room kitchen  tunes and information instantly available  slowly learning more features,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,sound quality,1,5,Positive
2,30-Jul-18,Heather Gray Fabric ,sad joke  worthless,0,1,Negative
5,30-Jul-18,Oak Finish ,entertainment,1,4,Positive
5,30-Jul-18,Heather Gray Fabric ,very good quality,1,5,Positive
4,30-Jul-18,Charcoal Fabric ,works great sounds great does not miss a beat wish it had a battery for better portability,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,loved it till someone stoled it  can not afford to replace it yet but i am going too,1,3,Neutral
5,29-Jul-18,Charcoal Fabric ,alexa rocks,1,5,Positive
4,29-Jul-18,Charcoal Fabric ,got this as a gift and love it  i never would have bought one for myself  but now that i have it     allows me to play music on it from my amozon prime music   that is worth it in and of itself  also  gives new s briefs and tells jokes,1,5,Positive
3,29-Jul-18,Heather Gray Fabric ,,1,4,Positive
5,29-Jul-18,Charcoal Fabric ,my mom bought a few echo dots and repeated ask me to take one of hers because it was so great  i told her  no  for two days  when she made me take it  6 hours later i could not live my life without it  it s that amazing  so now we have four large speakers and only the small echo dot  that i will be returning to her  i say if you re going to order an alexa speaker  go big and get the echo  otherwise tou ll be returning the two echo dots you couldn t live without,1,2,Unknown
5,29-Jul-18,Heather Gray Fabric ,love it   great product,1,5,Positive
5,29-Jul-18,Charcoal Fabric ,easy set up very user friendly,1,5,Positive
2,29-Jul-18,Charcoal Fabric ,really disappointed alexa has to be plug in to wall socket all the time  my fault for not checking this  but made the assumption that a company has technologically advanced as amazon would sell this product with a rechargeable battery  if i could return it  i would as my apple music and boom speaker give me more flexibility the alexa,0,1,Negative
3,29-Jul-18,Charcoal Fabric ,i do not think the  2nd gen  sounds as good as the 1st  but it does have an aux out    so you could add an external speaker  but if you are going to do that why would not you just get a dot  2nd issue is  which is not unique to this unit but i do not understand why i can not override the default that prevents you from playing a blue tooth speaker while playing through a  group   i get there is a delay when using a bt speaker  but if the other units are not where they can be heard then i should be able to play as a group while using the bt speaker,1,3,Neutral
5,29-Jul-18,Charcoal Fabric ,everything,1,5,Positive
3,29-Jul-18,Heather Gray Fabric ,i like the interaction of asking questions  i don t like that i can t ask her to setup schedule of off and on of connected lamp,1,3,Neutral
5,29-Jul-18,Charcoal Fabric ,supberb sound  definitely worth the extra money if you listen to lots of music,1,5,Positive
5,29-Jul-18,Charcoal Fabric ,i really love my amazon echo  i think the sound quality is great and we have a lot of fun with it  it is really handy for music and to get updates on the weather and sports,1,5,Positive
5,29-Jul-18,Charcoal Fabric ,love it  so do the grandkids,1,5,Positive
4,29-Jul-18,Heather Gray Fabric ,so far it has worked well  not always intuitive as to how to link different devices  or   skills    but getting the hang of it,1,4,Positive
5,29-Jul-18,Charcoal Fabric ,works as advertised,1,4,Positive
5,29-Jul-18,Sandstone Fabric ,i love it,1,5,Positive
4,29-Jul-18,Sandstone Fabric ,love my new addition to the house  speaker quality is great and over all we love our alexa  my only two   not complaints  more suggestions for the future series  would be better communication ability  example  for our smart lights in the house  unless we specify kitchen light 1 or kitchen light 2 prior to the command she either won t respond or says she doesn t recognize  it may be me  but i want my alexa to respond when i say thank you afterwards  i have to repeat alexa thank you and there are times she won t respond to me  but will my husband  i know it sounds odd  we laugh about it  but maybe it s a southern thing but i want my alexa to have manners too,1,5,Positive
5,29-Jul-18,Sandstone Fabric ,like everything about it  the music  the trivia games  the weather,1,4,Positive
5,29-Jul-18,Charcoal Fabric ,as described and received on time  do not like automatic enrolment into music,1,3,Neutral
5,29-Jul-18,Charcoal Fabric ,a great device,1,5,Positive
3,29-Jul-18,Sandstone Fabric ,i owned an echo for overa year but the new lacks the easy way to increase or decrease volume without telling it to increase or decrease volume which is hard to do for my wife since english is her second language she was born in korea  but the sound from the echo is superb  so we ll keep it,1,3,Neutral
5,29-Jul-18,Charcoal Fabric ,love this  have it in the kitchen and works well,1,5,Positive
5,29-Jul-18,Charcoal Fabric ,very nice  i am impressed   wish she had more to say though,1,4,Positive
5,29-Jul-18,Charcoal Fabric ,love the product  nice to have easy access to so much info,1,5,Positive
2,29-Jul-18,Sandstone Fabric ,it is got great sound and bass but it does not work all of the time  its still hot or miss when it recognizes things,0,2,Negative
4,29-Jul-18,Charcoal Fabric ,we are still discovering all that the echo can do,1,5,Positive
5,29-Jul-18,Charcoal Fabric ,amazing paroduct,1,5,Positive
4,29-Jul-18,Heather Gray Fabric ,good hearing range and sound quality  it was a bit complicated to set up and she does not quite understand me a lot even when i am speaking slowly and clearly but i love the flash briefing feature and interfacing with my abode home security system,1,4,Positive
